book_id,original_title,authors,average_rating,genre
156,Something Borrowed,Emily Giffin,3.83,fiction
157,Green Eggs and Ham,"Dr. Seuss, ×œ××” × ××•×¨",4.29,comic 
158,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",4.1,genre
159,The Battle of the Labyrinth,Rick Riordan,4.39,fiction
160,Great Expectations,Charles Dickens,3.75,comic 
161,The Return of the King,J.R.R. Tolkien,4.51,crime
162,ghju,"Albert Camus, Matthew    Ward",3.96,horror
163,The Lost Hero,Rick Riordan,4.35,mystery
164,Eleanor & Park,Rainbow Rowell,4.11,fairy tale fantasy
165,A Feast for Crows,George R.R. Martin,4.1,fiction
166,Matched,Ally Condie,3.68,science fiction
167,American Gods,Neil Gaiman,4.11,autobiographical
168,The Stand,"Stephen King, Bernie Wrightson",4.34,dictionary
169,The Last Song,Nicholas Sparks,4.14,fiction
170,Digital Fortress,Dan Brown,3.6,comic 
171,Emma,"Jane Austen, Fiona Stafford",3.99,crime
172,ÐÐ½Ð½Ð° ÐšÐ°Ñ€ÐµÐ½Ð¸Ð½Ð°,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",4.02,horror
173,A Clockwork Orange,Anthony Burgess,3.98,mystery
174,The Shack: Where Tragedy Confronts Eternity,William Paul Young,3.74,fairy tale fantasy
175,The Last Olympian,Rick Riordan,4.5,fiction
176,It,Stephen King,4.18,science fiction
177,kono,"Fyodor Dostoyevsky, David McDuff",4.18,autobiographical
178,The Bell Jar,Sylvia Plath,3.98,dictionary
179,Angela's Ashes: A Memoir,Frank McCourt,4.07,comic
180,Siddhartha,"Hermann Hesse, Hilda Rosner",3.99,autobiographical
181,In Cold Blood,Truman Capote,4.05,horror
182,Beautiful Creatures,"Kami Garcia, Margaret Stohl",3.76,comic 
183,Clockwork Angel,Cassandra Clare,4.33,mystery
184,Matilda,"Roald Dahl, Quentin Blake",4.29,fiction
185,The Night Circus,Erin Morgenstern,4.03,comic 
186,The Other Boleyn Girl,Philippa Gregory,4.04,genre
187,Uglies,Scott Westerfeld,3.86,fiction
188,A Dance with Dragons,George R.R. Martin,4.31,comic 
189,The Lord of the Rings,J.R.R. Tolkien,4.47,crime
190,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,3.96,horror
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",4.35,mystery
192,The Name of the Wind,Patrick Rothfuss,4.55,fairy tale fantasy
193,Outliers: The Story of Success,Malcolm Gladwell,4.11,fiction
194,"Moby Dick; or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",3.46,science fiction
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",4.12,autobiographical
196,Fight Club,Chuck Palahniuk,4.2,dictionary
197,Dead Until Dark,Charlaine Harris,3.96,fiction
198,The Color Purple,Alice Walker,4.17,comic 
199,Marley & Me: Life and Love with the World's Worst Dog,John Grogan,4.12,crime
200,Ten Little Niggers,Agatha Christie,4.23,horror
201,The Lost Symbol,Dan Brown,3.66,mystery
202,"Hush, Hush",Becca Fitzpatrick,4,fairy tale fantasy
203,Beautiful Disaster,Jamie McGuire,4.15,fiction
204,A Christmas Carol,Charles Dickens,4.02,science fiction
205,Interview with the Vampire,Anne Rice,3.97,autobiographical
206,The Selection,Kiera Cass,4.15,dictionary
207,One for the Money,Janet Evanovich,4.03,comic
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.04,autobiographical
209,The Silence of the Lambs,Thomas Harris,4.14,horror
210,Gytre,Richelle Mead,4.14,comic 
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.89,mystery
212,Atonement,Ian McEwan,3.88,fiction
213,Die Verwandlung,"Franz Kafka, Stanley Corngold",3.78,comic 
214,The Titan's Curse,Rick Riordan,4.33,genre
215,Konuy,Ernest Cline,4.31,fiction
216,The Art of Racing in the Rain,Garth Stein,4.19,comic 
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson, Tony Goldwyn",3.98,crime
218,Bared to You,Sylvia Day,4.19,horror
219,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",4.24,mystery
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,4.23,fairy tale fantasy
221,"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,4.08,fiction
222,The Bourne Identity,Robert Ludlum,3.98,science fiction
223,Artemis Fowl,Eoin Colfer,3.82,autobiographical
224,Fallen,Lauren Kate,3.74,dictionary
225,East of Eden  ,John Steinbeck,4.35,fiction
226,Dark Places,Gillian Flynn,3.92,comic 
227,The Client,John Grisham,3.97,crime
228,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",3.4,horror
229,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner",4.06,mystery
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",4.13,fairy tale fantasy
231,Elle s'appelait Sarah,Tatiana de Rosnay,4.14,fiction
232,The Gunslinger,Stephen King,3.99,science fiction
233,El amor en los tiempos del cÃ³lera,"Gabriel GarcÃ­a MÃ¡rquez, Edith Grossman",3.89,autobiographical
234,Speak,Laurie Halse Anderson,4,dictionary
235,The Husband's Secret ,Liane Moriarty,3.92,comic
236,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.11,autobiographical
237,Carrie,Stephen King,3.93,horror
238,Running with Scissors,Augusten Burroughs,3.7,comic 
239,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,mystery
240,Inferno,Dan Brown,3.8,fiction
241,Number the Stars,Lois Lowry,4.11,comic 
242,Along Came a Spider,James Patterson,4.08,genre
243,Misery,Stephen King,4.11,fiction
244,Sharp Objects,Gillian Flynn,3.92,comic 
245,Bridge to Terabithia,Katherine Paterson,3.98,crime
246,Marked,"P.C. Cast, Kristin Cast",3.79,horror
247,The 7 Habits of Highly Effective People,Stephen R. Covey,4.05,mystery
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",3.94,fairy tale fantasy
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.97,fiction
250,Wonder,R.J. Palacio,4.43,science fiction
251,The Cat in the Hat,Dr. Seuss,4.15,autobiographical
252,Cinder,Marissa Meyer,4.15,dictionary
253,The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling",3.83,fiction
254,Shiver,Maggie Stiefvater,3.78,comic 
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",3.68,crime
256,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin",3.64,horror
257,Serty,"Jane Carruth, Lewis Carroll, Rene Cloke",4.03,mystery
258,La sombra del viento,"Carlos Ruiz ZafÃ³n, Lucia Graves",4.24,fairy tale fantasy
259,The Scorch Trials,James Dashner,3.93,fiction
260,How to Win Friends and Influence People,Dale Carnegie,4.13,science fiction
261,Under the Tuscan Sun,Frances Mayes,3.72,autobiographical
262,Big Little Lies,Liane Moriarty,4.2,dictionary
263,Ella Enchanted,Gail Carson Levine,3.97,comic
264,The Sun Also Rises,Ernest Hemingway,3.83,autobiographical
265,A Tree Grows In Brooklyn ,Betty  Smith,4.24,horror
266,Kiss the Girls,James Patterson,3.93,comic 
267,The Nightingale,Kristin Hannah,4.54,mystery
268,Never Let Me Go,Kazuo Ishiguro,3.8,fiction
269,"PS, I Love You",Cecelia Ahern,4.01,comic 
270,Rebecca,"Daphne du Maurier, Sally Beauman",4.2,genre
271,Flowers for Algernon,Daniel Keyes,4.07,fiction
272,Como agua para chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",3.94,comic 
273,Snow Flower and the Secret Fan,Lisa See,4.05,crime
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",4.36,horror
275,An Abundance of Katherines,John Green,3.63,mystery
276,Foundation,Isaac Asimov,4.13,fairy tale fantasy
277,The Ocean at the End of the Lane,Neil Gaiman,3.99,fiction
278,A Light in the Attic,Shel Silverstein,4.34,science fiction
279,"Harry Potter and the Cursed Child, Parts One and Two","John Tiffany, Jack Thorne, J.K. Rowling",3.75,autobiographical
280,Delirium,Lauren Oliver,3.99,dictionary
281,The Pelican Brief,John Grisham,3.95,fiction
282,Coraline,Neil Gaiman,4.03,comic 
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",4.25,crime
284,On the Road,Jack Kerouac,3.64,horror
285,The Rosie Project,Graeme Simsion,4.01,mystery
286,The Lucky One,Nicholas Sparks,4.1,fairy tale fantasy
287,The Fountainhead,"Ayn Rand, Leonard Peikoff",3.85,fiction
288,The Hunt for Red October,Tom Clancy,4.01,science fiction
289,Watership Down,Richard Adams,4.05,autobiographical
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.84,dictionary
291,Cutting for Stone,Abraham Verghese,4.28,comic
292,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",4.08,autobiographical
293,Treasure Island,Robert Louis Stevenson,3.82,horror
294,The Son of Neptune ,Rick Riordan,4.44,comic 
295,11/22/63,Stephen King,4.29,mystery
296,The Very Hungry Caterpillar,Eric Carle,4.29,fiction
297,Cat's Cradle,Kurt Vonnegut Jr.,4.18,comic 
298,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",3.87,genre
299,Iokiuy,"Todd Burpo, Lynn Vincent",4.01,fiction
300,The Boy in the Striped Pyjamas,John Boyne,4.1,comic 
301,Heart of Darkness,Joseph Conrad,3.42,crime
302,Safe Haven,Nicholas Sparks,4.19,horror
303,The Secret,Rhonda Byrne,3.62,mystery
304,I Know This Much Is True ,Wally Lamb,4.17,fairy tale fantasy
305,Pet Sematary,Stephen King,3.91,fiction
306,She's Come Undone,Wally Lamb,3.84,science fiction
307,The Wise Man's Fear,Patrick Rothfuss,4.57,autobiographical
308,Can You Keep a Secret?,Sophie Kinsella,3.83,dictionary
309,City of Fallen Angels,Cassandra Clare,4.16,fiction
310,Good in Bed,Jennifer Weiner,3.7,comic 
311,The Thorn Birds,Colleen McCullough,4.22,crime
312,The Graveyard Book,"Neil Gaiman, Dave McKean",4.12,horror
313,The Light Between Oceans,M.L. Stedman,4,mystery
314,Tintenherz,"Cornelia Funke, Anthea Bell",3.86,fairy tale fantasy
315,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",3.74,fiction
316,A Walk in the Woods,Bill Bryson,4.05,science fiction
317,I Know Why the Caged Bird Sings,Maya Angelou,4.19,autobiographical
318,Orphan Train,Christina Baker Kline,4.14,dictionary
319,City of Lost Souls,Cassandra Clare,4.3,comic
320,"Where'd You Go, Bernadette",Maria Semple,3.9,autobiographical
321,Where the Red Fern Grows,Wilson Rawls,4.04,horror
322,Neverwhere,Neil Gaiman,4.18,comic 
323,NesnesitelnÃ¡ lehkost bytÃ­,"Milan Kundera, Michael Henry Heim",4.08,mystery
324,Vuten,Rainbow Rowell,4.12,fiction
325,A Prayer for Owen Meany,John Irving,4.22,comic 
326,White Oleander,Janet Fitch,3.93,genre
327,Legend,Marie Lu,4.19,fiction
328,Nineteen Minutes,Jodi Picoult,4.1,comic 
329,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",4.25,crime
330,The Eye of the World,Robert Jordan,4.18,horror
331,The Pact,Jodi Picoult,4,mystery
332,The magician's nephew,C.S. Lewis,4.01,fairy tale fantasy
333,Still Alice,Lisa Genova,4.3,fiction
334,Reflected in You,Sylvia Day,4.33,science fiction
335,James and the Giant Peach,"Roald Dahl, Quentin Blake",3.99,autobiographical
336,1st To Die,James Patterson,4.05,dictionary
337,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,4.37,fiction
338,One Day,David Nicholls,3.77,comic 
339,Lomo,"Margaret Wise Brown, Clement Hurd",4.27,crime
340,I Am Number Four,Pittacus Lore,3.94,horror
341,Querty,"Homer, Robert Fagles, FrÃ©dÃ©ric Mugler, Bernard Knox",3.83,mystery
342,The Casual Vacancy,J.K. Rowling,3.28,fairy tale fantasy
343,The Runaway Jury,John Grisham,3.96,fiction
344,Naked,David Sedaris,4.08,science fiction
345,Eldest,Christopher Paolini,3.96,autobiographical
346,The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow",3.98,dictionary
347,Prince Caspian: The Return to Narnia,C.S. Lewis,3.96,comic
348,We Were Liars,E. Lockhart,3.85,autobiographical
349,Salem's Lot,Stephen King,3.99,horror
350,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,"Hunter S. Thompson, Ralph Steadman",4.08,comic 
351,Clockwork Prince,Cassandra Clare,4.46,mystery
352,Yes Please,Amy Poehler,3.81,fiction
353,"The Tragedy of Othello, The Moor of Venice",William Shakespeare,3.88,comic 
354,Beloved,Toni Morrison,3.77,genre
355,Graceling,Kristin Cashore,4.1,fiction
356,The Bad Beginning,"Lemony Snicket, Brett Helquist",3.89,comic 
357,Im Westen nichts Neues,"Erich Maria Remarque, A.W. Wheen",3.92,crime
358,"Oh, the Places You'll Go!",Dr. Seuss,4.34,horror
359,And The Mountains Echoed,Khaled Hosseini,4.03,mystery
360,Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny",4.08,fairy tale fantasy
361,Oliver Twist,"Charles Dickens, George Cruikshank, Philip Horne",3.85,fiction
362,A Grief Observed,C.S. Lewis,4.21,science fiction
363,Anna and the French Kiss,Stephanie Perkins,4.08,autobiographical
364,How the Grinch Stole Christmas!,Dr. Seuss,4.36,dictionary
365,V for Vendetta,"Alan Moore, David   Lloyd",4.25,fiction
366,John Adams,David McCullough,4.05,comic 
367,Odd Thomas,Dean Koontz,3.94,crime
368,The Subtle Knife,Philip Pullman,4.1,horror
369,Stargirl,Jerry Spinelli,3.74,mystery
370,The Red Pyramid,Rick Riordan,4.06,fairy tale fantasy
371,Stranger in a Strange Land,Robert A. Heinlein,3.91,fiction
372,Dress Your Family in Corduroy and Denim,David Sedaris,4.08,science fiction
373,The BFG,"Roald Dahl, Quentin Blake",4.22,autobiographical
374,A Short History of Nearly Everything,Bill Bryson,4.19,dictionary
375,The Call of the Wild,Jack London,3.83,comic
376,The Death Cure,James Dashner,3.77,autobiographical
377,Stardust,Neil Gaiman,4.07,horror
378,The Namesake,Jhumpa Lahiri,3.96,comic 
379,A Discovery of Witches,Deborah Harkness,3.99,mystery
380,ãƒŽãƒ«ã‚¦ã‚§ã‚¤ã®æ£® [Noruwei no Mori],"Haruki Murakami, Jay Rubin",4.02,fiction
381,Where the Heart Is,Billie Letts,4,comic 
382,"Will Grayson, Will Grayson","John Green, David Levithan",3.84,genre
383,A Million Little Pieces,James Frey,3.62,fiction
384,Frostbite,Richelle Mead,4.3,comic 
385,Quiet: The Power of Introverts in a World that Can't Stop Talking,Susan Cain,4.04,crime
386,Island of the Blue Dolphins,Scott O'Dell,3.8,horror
387,The Crucible,"Arthur Miller, Christopher Bigsby",3.55,mystery
388,Hatchet,Gary Paulsen,3.68,fairy tale fantasy
389,Mistborn : The Final Empire,Brandon Sanderson,4.43,fiction
390,The Strange Case of Dr Jekyll and Mr Hyde,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",3.79,science fiction
391,The Lorax,Dr. Seuss,4.35,autobiographical
392,Greg Heffley's Journal,Jeff Kinney,3.96,dictionary
393,Throne of Glass,Sarah J. Maas,4.24,fiction
394,Shadow Kiss,Richelle Mead,4.37,comic 
395,For Whom the Bell Tolls,Ernest Hemingway,3.95,crime
396,Hotel on the Corner of Bitter and Sweet,Jamie Ford,3.98,horror
397,Das Parfum. Die Geschichte eines MÃ¶rders,"Patrick SÃ¼skind, John E. Woods",4,mystery
398,Fast Food Nation : The Dark Side of the All-American Meal ,Eric Schlosser,3.73,fairy tale fantasy
399,The Tales of Beedle the Bard,J.K. Rowling,4.06,fiction
400,Neuromancer,William Gibson,3.88,science fiction
401,A Farewell to Arms,Ernest Hemingway,3.79,autobiographical
402,The Tell-Tale Heart,Edgar Allan Poe,4.15,dictionary
403,Jaihuy,"Sun Tzu, Thomas Cleary",3.95,comic
404,Defending Jacob,William Landay,3.97,autobiographical
405,Breakfast of Champions,Kurt Vonnegut Jr.,4.08,horror
406,Drawing on the Right Side of the Brain,Betty Edwards,3.84,comic 
407,Bel Canto,Ann Patchett,3.92,mystery
408,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4,fiction
409,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.26,comic 
410,Things Fall Apart,Chinua Achebe,3.61,genre
411,The Undomestic Goddess,Sophie Kinsella,3.82,fiction
412,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.23,comic 
413,Les Trois Mousquetaires,Alexandre Dumas,4.06,crime
414,The Other Hand,Chris Cleave,3.7,horror
415,Evermore,Alyson Noel,3.59,mystery
416,The Witches,"Roald Dahl, Quentin Blake",4.17,fairy tale fantasy
417,The Thirteenth Tale,Diane Setterfield,3.95,fiction
418,Spirit Bound,Richelle Mead,4.37,science fiction
419,Blood Promise,Richelle Mead,4.35,autobiographical
